Datum;Zeit;Artnr;Preis;Name
17.02.2022;12:30:01;71634;308,75;32GB Kingston FURY Beast DIMM Kit DDR5-4800, CL38-38-38
17.02.2022;18:30:03;71634;302,59;32GB Kingston FURY Beast DIMM Kit DDR5-4800, CL38-38-38
18.02.2022;08:30:03;71634;302,59;32GB Kingston FURY Beast DIMM Kit DDR5-4800, CL38-38-38
18.02.2022;12:30:03;71634;302,59;32GB Kingston FURY Beast DDR5-4800 DIMM CL 38 Dual Kit
18.02.2022;18:30:03;71634;314,38;32GB Kingston FURY Beast DDR5-4800 DIMM CL 38 Dual Kit
19.02.2022;08:30:02;71634;314,38;32GB Kingston FURY Beast DDR5-4800 DIMM CL 38 Dual Kit
19.02.2022;12:30:03;71634;314,38;32GB Kingston FURY Beast DDR5-4800 DIMM CL 38 Dual Kit
19.02.2022;18:30:03;71634;314,38;32GB Kingston FURY Beast DDR5-4800 DIMM CL 38 Dual Kit
20.02.2022;08:30:03;71634;314,38;32GB Kingston FURY Beast DDR5-4800 DIMM CL 38 Dual Kit
20.02.2022;12:30:03;71634;314,38;32GB Kingston FURY Beast DDR5-4800 DIMM CL 38 Dual Kit
20.02.2022;18:30:02;71634;314,38;32GB Kingston FURY Beast DDR5-4800 DIMM CL 38 Dual Kit
21.02.2022;08:30:02;71634;314,38;32GB Kingston FURY Beast DDR5-4800 DIMM CL 38 Dual Kit
22.02.2022;18:30:02;71634;314,38;32GB Kingston FURY Beast DDR5-4800 DIMM CL 38 Dual Kit
23.02.2022;08:30:02;71634;284,57;32GB Kingston FURY Beast DDR5-4800 DIMM CL 38 Dual Kit
23.02.2022;12:30:02;71634;284,57;32GB Kingston FURY Beast DDR5-4800 DIMM CL 38 Dual Kit
23.02.2022;18:30:03;71634;284,55;32GB Kingston FURY Beast DDR5-4800 DIMM CL 38 Dual Kit
24.02.2022;12:30:04;71634;261,95;32GB Kingston FURY Beast DDR5-4800 DIMM CL 38 Dual Kit
24.02.2022;18:30:02;71634;300,96;32GB Kingston FURY Beast DDR5-4800 DIMM CL 38 Dual Kit
25.02.2022;08:30:02;71634;300,96;32GB Kingston FURY Beast DDR5-4800 DIMM CL 38 Dual Kit
25.02.2022;12:30:02;71634;297,66;32GB Kingston FURY Beast DDR5-4800 DIMM CL 38 Dual Kit
25.02.2022;18:30:01;71634;298,95;32GB Kingston FURY Beast DDR5-4800 DIMM CL 38 Dual Kit
26.02.2022;08:30:03;71634;298,95;32GB Kingston FURY Beast DDR5-4800 DIMM CL 38 Dual Kit
29.01.2022;12:55:11;71814;95;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
29.01.2022;20:30:02;71814;95;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
30.01.2022;08:30:01;71814;95;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
30.01.2022;20:30:02;71814;86;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
31.01.2022;08:30:04;71814;86;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
31.01.2022;20:30:01;71814;89;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
01.02.2022;08:30:03;71814;89;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
01.02.2022;20:30:02;71814;89;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
02.02.2022;08:30:02;71814;89;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
03.02.2022;08:30:02;71814;89;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
03.02.2022;12:30:02;71814;89;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
03.02.2022;18:30:03;71814;89;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
04.02.2022;08:30:02;71814;89;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
04.02.2022;12:30:02;71814;89;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
04.02.2022;18:30:03;71814;89;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
05.02.2022;08:30:02;71814;89;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
05.02.2022;12:30:03;71814;89;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
05.02.2022;18:30:02;71814;89;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
06.02.2022;08:30:03;71814;89;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
06.02.2022;12:30:02;71814;89;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
06.02.2022;18:30:02;71814;89;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
07.02.2022;08:30:03;71814;89;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
07.02.2022;12:30:02;71814;89;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
07.02.2022;18:30:02;71814;89;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
08.02.2022;08:30:03;71814;89;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
08.02.2022;12:30:03;71814;89;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
09.02.2022;12:30:02;71814;89,86;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
09.02.2022;18:30:04;71814;89,86;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
10.02.2022;08:30:02;71814;89,86;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
10.02.2022;12:30:03;71814;89,86;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
10.02.2022;18:30:02;71814;89,86;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
11.02.2022;08:30:02;71814;89,86;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
11.02.2022;12:30:02;71814;89,86;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
11.02.2022;18:30:03;71814;89,86;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
12.02.2022;08:30:02;71814;89,86;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
12.02.2022;12:30:03;71814;89,86;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
12.02.2022;18:30:02;71814;89,86;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
13.02.2022;08:30:02;71814;89,86;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
13.02.2022;12:30:03;71814;89,86;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
13.02.2022;18:30:02;71814;89,86;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
14.02.2022;08:30:03;71814;89,86;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
14.02.2022;12:30:03;71814;89,86;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
14.02.2022;18:30:02;71814;89,86;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
15.02.2022;08:30:02;71814;89,86;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
15.02.2022;12:30:02;71814;89,86;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
15.02.2022;18:30:02;71814;89,86;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
16.02.2022;08:30:02;71814;89,86;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
16.02.2022;12:30:04;71814;89,86;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
16.02.2022;18:30:03;71814;89,86;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
17.02.2022;08:30:02;71814;89,86;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
17.02.2022;12:30:01;71814;89,86;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
17.02.2022;18:30:03;71814;89,86;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
18.02.2022;08:30:03;71814;89,86;8GB (1x 8GB) Patriot PSD58G480041 PC4800 CL40 1.1V
18.02.2022;12:30:03;71814;89,86;8GB Patriot DDR5-4800 DIMM CL40 Single
18.02.2022;18:30:03;71814;82,86;8GB Patriot DDR5-4800 DIMM CL40 Single
19.02.2022;08:30:02;71814;82,86;8GB Patriot DDR5-4800 DIMM CL40 Single
19.02.2022;12:30:03;71814;82,86;8GB Patriot DDR5-4800 DIMM CL40 Single
19.02.2022;18:30:03;71814;82,86;8GB Patriot DDR5-4800 DIMM CL40 Single
20.02.2022;08:30:03;71814;82,86;8GB Patriot DDR5-4800 DIMM CL40 Single
20.02.2022;12:30:03;71814;82,86;8GB Patriot DDR5-4800 DIMM CL40 Single
20.02.2022;18:30:02;71814;82,86;8GB Patriot DDR5-4800 DIMM CL40 Single
21.02.2022;08:30:02;71814;82,86;8GB Patriot DDR5-4800 DIMM CL40 Single
21.02.2022;12:30:03;71814;82,86;8GB Patriot DDR5-4800 DIMM CL40 Single
21.02.2022;18:30:03;71814;82,86;8GB Patriot DDR5-4800 DIMM CL40 Single
22.02.2022;08:30:02;71814;82,86;8GB Patriot DDR5-4800 DIMM CL40 Single
22.02.2022;12:30:03;71814;82,86;8GB Patriot DDR5-4800 DIMM CL40 Single
22.02.2022;18:30:02;71814;82,86;8GB Patriot DDR5-4800 DIMM CL40 Single
23.02.2022;12:30:02;71814;82,85;8GB Patriot DDR5-4800 DIMM CL40 Single
24.02.2022;12:30:04;71814;82,86;8GB Patriot DDR5-4800 DIMM CL40 Single
24.02.2022;18:30:02;71814;82,86;8GB Patriot DDR5-4800 DIMM CL40 Single
25.02.2022;08:30:02;71814;82,86;8GB Patriot DDR5-4800 DIMM CL40 Single
25.02.2022;12:30:02;71814;82,86;8GB Patriot DDR5-4800 DIMM CL40 Single
25.02.2022;18:30:01;71814;89,86;8GB Patriot DDR5-4800 DIMM CL40 Single
26.02.2022;08:30:03;71814;89,86;8GB Patriot DDR5-4800 DIMM CL40 Single
17.02.2022;12:30:01;72024;264,95;32GB Crucial CT32G48C40U5 DDR5-4800 DIMM Single
17.02.2022;18:30:03;72024;264,95;32GB Crucial CT32G48C40U5 DDR5-4800 DIMM Single
18.02.2022;08:30:03;72024;259,91;32GB Crucial CT32G48C40U5 DDR5-4800 DIMM Single
18.02.2022;12:30:03;72024;260,29;32GB Crucial CT32G48C40U5 DDR5-4800 DIMM Single
18.02.2022;18:30:03;72024;260,29;32GB Crucial CT32G48C40U5 DDR5-4800 DIMM Single
19.02.2022;08:30:02;72024;260,29;32GB Crucial CT32G48C40U5 DDR5-4800 DIMM Single
19.02.2022;12:30:03;72024;260,29;32GB Crucial CT32G48C40U5 DDR5-4800 DIMM Single
19.02.2022;18:30:03;72024;260,29;32GB Crucial CT32G48C40U5 DDR5-4800 DIMM Single
20.02.2022;08:30:03;72024;260,29;32GB Crucial CT32G48C40U5 DDR5-4800 DIMM Single
20.02.2022;12:30:03;72024;260,29;32GB Crucial CT32G48C40U5 DDR5-4800 DIMM Single
20.02.2022;18:30:02;72024;260,29;32GB Crucial CT32G48C40U5 DDR5-4800 DIMM Single
21.02.2022;08:30:02;72024;260,29;32GB Crucial CT32G48C40U5 DDR5-4800 DIMM Single
21.02.2022;12:30:03;72024;260,64;32GB Crucial CT32G48C40U5 DDR5-4800 DIMM Single
21.02.2022;18:30:03;72024;260,64;32GB Crucial CT32G48C40U5 DDR5-4800 DIMM Single
22.02.2022;08:30:02;72024;260,64;32GB Crucial CT32G48C40U5 DDR5-4800 DIMM Single
22.02.2022;12:30:03;72024;260,64;32GB Crucial CT32G48C40U5 DDR5-4800 DIMM Single
22.02.2022;18:30:02;72024;260,64;32GB Crucial CT32G48C40U5 DDR5-4800 DIMM Single
23.02.2022;08:30:02;72024;259,17;32GB Crucial CT32G48C40U5 DDR5-4800 DIMM Single
23.02.2022;12:30:02;72024;259,17;32GB Crucial CT32G48C40U5 DDR5-4800 DIMM Single
23.02.2022;18:30:03;72024;259,17;32GB Crucial CT32G48C40U5 DDR5-4800 DIMM Single
24.02.2022;08:30:02;72024;259,17;32GB Crucial CT32G48C40U5 DDR5-4800 DIMM Single
24.02.2022;12:30:04;72024;259,17;32GB Crucial CT32G48C40U5 DDR5-4800 DIMM Single
24.02.2022;18:30:02;72024;259,17;32GB Crucial CT32G48C40U5 DDR5-4800 DIMM Single
25.02.2022;08:30:02;72024;259,17;32GB Crucial CT32G48C40U5 DDR5-4800 DIMM Single
25.02.2022;12:30:02;72024;258,96;32GB Crucial CT32G48C40U5 DDR5-4800 DIMM Single
25.02.2022;18:30:01;72024;258,96;32GB Crucial CT32G48C40U5 DDR5-4800 DIMM Single
26.02.2022;08:30:03;72024;258,96;32GB Crucial CT32G48C40U5 DDR5-4800 DIMM Single
29.01.2022;12:55:11;72025;416,84;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
29.01.2022;20:30:02;72025;416,84;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
30.01.2022;08:30:01;72025;416,84;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
30.01.2022;20:30:02;72025;416,84;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
31.01.2022;08:30:04;72025;411,25;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
31.01.2022;20:30:01;72025;411,24;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
01.02.2022;08:30:03;72025;411,19;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
01.02.2022;20:30:02;72025;411,24;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
02.02.2022;08:30:02;72025;411,24;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
03.02.2022;08:30:02;72025;484,95;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
03.02.2022;12:30:02;72025;484,95;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
03.02.2022;18:30:03;72025;440,47;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
04.02.2022;08:30:02;72025;431,56;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
04.02.2022;12:30:02;72025;432,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
04.02.2022;18:30:03;72025;418,95;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
05.02.2022;08:30:02;72025;418,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
05.02.2022;12:30:03;72025;418,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
05.02.2022;18:30:02;72025;418,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
06.02.2022;08:30:03;72025;418,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
06.02.2022;12:30:02;72025;418,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
06.02.2022;18:30:02;72025;418,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
07.02.2022;08:30:03;72025;418,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
07.02.2022;12:30:02;72025;418,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
07.02.2022;18:30:02;72025;418,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
08.02.2022;08:30:03;72025;418,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
08.02.2022;12:30:03;72025;418,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
08.02.2022;18:30:04;72025;418,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
09.02.2022;08:30:03;72025;418,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
09.02.2022;12:30:02;72025;418,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
09.02.2022;18:30:04;72025;418,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
10.02.2022;08:30:02;72025;418,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
10.02.2022;12:30:03;72025;418,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
10.02.2022;18:30:02;72025;418,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
11.02.2022;08:30:02;72025;418,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
11.02.2022;12:30:02;72025;418,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
11.02.2022;18:30:03;72025;418,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
12.02.2022;08:30:02;72025;418,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
12.02.2022;12:30:03;72025;418,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
12.02.2022;18:30:02;72025;418,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
13.02.2022;08:30:02;72025;418,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
13.02.2022;12:30:03;72025;418,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
13.02.2022;18:30:02;72025;418,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
14.02.2022;08:30:03;72025;418,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
14.02.2022;12:30:03;72025;418,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
14.02.2022;18:30:02;72025;417,95;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
15.02.2022;08:30:02;72025;417,95;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
15.02.2022;12:30:02;72025;417,95;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
15.02.2022;18:30:02;72025;417,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
16.02.2022;08:30:02;72025;417,86;32GB (1x 32768MB) Samsung DDR5-RAM PC4800 CL40 bulk
